,potential,age,height_cm,weight_kg,league_level,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,attacking_work_rate,defending_work_rate,overall
13590,63,25,181,72,1.0,3,3,1,81.0,57.0,56.0,61.0,40.0,64.0,58,56,52,55,56,61,57,51,53,56,81,81,80,65,62,63,56,70,62,52,62,48,58,60,53,57,37,36,37,8,14,11,14,9,3,1,62
14748,73,21,191,86,3.0,2,2,1,55.0,34.0,46.0,51.0,59.0,70.0,36,37,62,58,44,52,38,31,57,54,55,55,40,54,53,37,70,62,77,21,64,53,22,34,43,48,55,64,60,13,10,5,10,15,3,3,61
4096,74,25,174,70,1.0,4,3,1,66.0,60.0,70.0,71.0,68.0,72.0,63,58,55,77,54,70,63,53,72,72,70,63,74,67,74,65,74,81,69,60,70,71,64,68,62,70,66,71,69,15,14,11,15,8,3,3,71
1357,79,24,183,79,1.0,4,3,2,74.0,53.0,71.0,75.0,73.0,69.0,74,50,63,74,53,76,73,49,66,75,74,74,75,74,69,62,66,74,68,46,68,74,62,69,59,75,73,74,74,8,9,13,12,14,5,3,76
12094,81,18,180,80,2.0,3,2,1,73.0,51.0,61.0,64.0,57.0,62.0,66,45,50,64,48,64,68,39,55,63,77,69,74,60,71,62,63,68,62,53,56,57,58,60,45,46,55,61,56,11,12,14,11,12,5,3,64
2917,82,22,178,70,1.0,3,4,1,79.0,67.0,69.0,77.0,31.0,63.0,65,67,50,68,68,78,74,65,67,76,80,78,84,69,76,68,63,71,63,66,51,28,70,75,70,78,26,32,33,13,12,11,9,9,5,3,73
14706,70,21,168,61,1.0,3,3,1,73.0,55.0,56.0,66.0,46.0,39.0,38,57,39,66,51,65,50,56,56,60,77,70,84,59,86,52,62,36,42,56,29,39,63,58,45,53,44,52,51,13,9,13,12,6,5,3,61
15911,75,19,180,65,1.0,2,2,1,61.0,36.0,43.0,59.0,59.0,52.0,58,36,55,42,26,67,43,42,30,50,62,60,59,54,70,32,63,62,45,35,54,61,53,40,44,42,49,68,65,13,11,7,9,12,3,3,60
1649,75,31,185,78,1.0,2,2,2,75.0,53.0,66.0,64.0,73.0,76.0,73,46,60,68,41,58,63,55,65,69,74,76,70,73,67,67,77,82,73,58,76,73,65,60,36,71,75,73,75,13,8,11,10,9,3,3,75
67,89,25,191,82,1.0,4,3,3,61.0,70.0,77.0,78.0,82.0,82.0,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8,3,5,86
4291,71,29,179,70,1.0,3,3,1,72.0,76.0,61.0,64.0,36.0,62.0,60,77,70,65,74,63,68,61,51,67,73,71,64,63,61,76,75,66,59,72,59,51,75,61,76,66,15,38,28,9,13,7,9,8,5,1,71
16973,70,22,180,75,2.0,3,4,1,61.0,56.0,59.0,56.0,30.0,48.0,65,57,46,60,64,56,62,48,62,58,62,61,52,50,63,68,42,44,54,40,37,22,54,53,63,46,31,28,30,14,11,11,6,10,3,3,58
16904,58,28,182,73,1.0,3,2,1,64.0,36.0,52.0,44.0,57.0,59.0,40,31,44,62,33,40,39,32,58,47,67,61,50,54,50,51,59,55,58,31,66,55,48,49,36,41,59,59,57,11,9,13,13,10,1,5,58
18816,65,21,185,70,1.0,4,2,1,70.0,49.0,33.0,53.0,16.0,47.0,25,51,52,36,36,49,30,27,28,57,72,68,58,50,61,46,63,55,50,48,26,19,56,42,55,43,10,11,10,5,7,7,5,11,5,3,52
11716,75,21,185,77,1.0,4,2,1,79.0,62.0,57.0,60.0,27.0,68.0,58,64,60,64,52,59,49,31,51,62,75,82,68,62,54,62,74,67,74,59,55,31,63,57,60,53,28,17,12,10,6,10,8,10,5,1,64
13457,62,34,188,85,1.0,3,2,1,31.0,29.0,42.0,39.0,61.0,72.0,37,23,63,51,23,36,27,29,44,42,33,30,30,60,35,50,54,51,85,27,68,59,24,37,27,53,61,62,58,12,14,7,7,14,3,3,62
13526,62,29,179,69,1.0,4,3,1,72.0,56.0,57.0,64.0,48.0,57.0,62,56,39,64,40,63,43,36,45,63,71,72,75,54,71,63,57,67,59,54,40,55,57,57,52,55,34,57,56,11,6,13,14,9,5,3,62
17200,66,21,182,71,1.0,2,2,1,62.0,45.0,55.0,56.0,40.0,50.0,52,53,38,60,34,56,42,36,56,55,60,64,62,56,67,36,55,56,51,37,40,43,52,56,40,43,41,39,34,11,9,10,5,14,3,3,57
17245,67,22,183,75,3.0,3,2,1,83.0,23.0,43.0,58.0,50.0,61.0,48,21,40,44,23,61,35,32,40,54,82,84,65,42,70,25,62,68,64,20,45,44,43,41,34,40,46,58,56,10,8,6,6,13,5,3,57
13668,70,23,178,73,3.0,4,3,1,67.0,63.0,58.0,65.0,31.0,50.0,58,64,52,59,60,66,62,57,49,64,71,64,70,59,71,65,53,51,54,62,38,26,61,61,61,60,30,28,30,9,8,7,7,8,3,3,62
8481,80,19,177,64,1.0,4,2,1,74.0,37.0,65.0,72.0,60.0,57.0,67,32,49,72,42,72,55,49,67,74,76,72,80,58,78,48,74,62,52,34,61,59,45,54,31,57,57,67,65,8,14,8,6,10,3,3,67
3807,84,18,173,73,1.0,3,3,1,82.0,71.0,66.0,76.0,35.0,66.0,66,72,58,68,66,75,61,48,66,74,89,77,88,71,89,73,61,61,69,68,65,29,73,69,65,71,33,35,29,6,13,6,6,13,5,3,72
2382,82,22,178,72,1.0,4,2,1,83.0,54.0,64.0,72.0,69.0,61.0,79,46,57,70,47,74,61,39,64,72,84,83,71,68,70,65,58,68,53,60,75,65,68,44,49,69,71,74,71,6,9,11,6,5,5,3,74
1619,77,26,184,79,1.0,4,2,1,65.0,31.0,56.0,62.0,76.0,72.0,32,23,69,71,28,56,21,26,72,67,65,65,65,71,69,50,77,62,77,31,71,78,31,59,37,60,76,77,77,13,10,10,9,10,3,5,75
5659,69,28,187,85,1.0,3,2,1,50.0,35.0,57.0,51.0,70.0,76.0,42,31,69,72,35,37,35,26,66,63,51,49,55,64,65,39,75,80,83,35,53,59,34,52,46,72,68,80,68,10,8,7,14,8,1,3,69
5265,80,23,183,75,1.0,3,3,1,67.0,63.0,69.0,67.0,69.0,62.0,63,55,62,74,74,72,47,47,71,66,64,69,54,68,61,73,57,67,59,76,65,63,40,75,49,60,70,72,71,10,7,6,7,10,3,3,70
16501,72,18,185,82,1.0,3,2,1,60.0,35.0,47.0,45.0,60.0,61.0,44,32,55,52,55,35,40,42,50,55,60,60,48,55,55,36,70,60,62,34,55,60,30,40,52,55,61,60,58,15,8,11,11,12,3,3,59
4116,75,24,180,73,1.0,4,3,1,70.0,67.0,68.0,71.0,62.0,73.0,61,67,59,70,60,70,70,65,69,71,73,67,72,71,75,70,72,92,68,68,63,65,71,69,50,67,59,65,62,6,6,7,15,13,5,5,71
14990,69,23,182,74,1.0,3,3,1,63.0,54.0,57.0,63.0,43.0,51.0,41,59,36,65,41,64,46,42,63,66,62,63,56,60,60,48,51,63,50,56,38,51,56,60,45,51,40,45,40,7,10,7,13,9,5,3,61
7848,67,32,194,95,2.0,3,2,1,49.0,69.0,45.0,53.0,38.0,81.0,38,69,76,53,59,49,37,29,34,59,47,50,45,69,35,74,45,69,91,66,81,20,73,50,69,73,28,53,18,9,11,11,14,10,3,3,67
10886,80,19,175,72,1.0,2,2,1,63.0,52.0,59.0,63.0,50.0,59.0,36,55,50,70,35,62,33,44,65,65,61,65,55,65,68,51,61,68,55,51,55,60,65,68,36,62,38,58,43,14,10,5,8,13,5,3,65
1865,83,23,187,83,1.0,4,4,1,83.0,74.0,67.0,79.0,45.0,75.0,58,78,72,72,62,80,75,77,55,78,84,82,81,68,84,74,73,77,82,69,55,39,73,73,76,82,44,46,28,7,6,13,11,13,5,3,75
10725,74,20,165,66,1.0,3,2,1,72.0,54.0,60.0,66.0,64.0,64.0,45,49,38,67,46,66,57,44,67,64,73,71,74,64,77,68,59,78,51,54,80,56,60,61,45,59,66,74,67,13,7,15,14,11,5,5,65
7088,75,23,178,73,1.0,3,3,1,75.0,56.0,65.0,73.0,61.0,62.0,67,52,62,66,49,72,56,46,64,73,74,76,81,68,79,66,56,67,57,56,69,56,66,70,52,74,59,63,65,14,5,9,7,9,5,3,68
15191,60,29,175,78,1.0,4,3,1,63.0,54.0,60.0,62.0,52.0,63.0,57,53,44,62,48,59,59,58,55,60,67,60,73,59,73,54,36,75,61,55,60,56,56,63,59,62,52,55,42,7,11,7,12,14,5,5,60
4475,82,21,175,68,1.0,4,3,1,75.0,55.0,65.0,71.0,69.0,70.0,50,49,61,71,47,70,69,67,70,72,76,74,76,65,79,59,65,77,64,67,75,67,58,63,48,70,70,71,68,9,15,13,8,12,5,5,71
16152,73,21,183,73,1.0,3,3,1,67.0,46.0,55.0,64.0,49.0,59.0,39,47,54,65,41,63,43,39,61,65,67,67,68,58,67,44,69,55,61,44,54,52,52,57,42,53,48,48,47,12,5,12,6,6,3,3,59
3745,77,24,190,84,1.0,3,3,1,65.0,72.0,63.0,66.0,35.0,84.0,58,72,77,67,67,67,46,57,62,70,62,67,58,71,43,78,64,82,89,67,77,27,74,66,75,71,38,26,22,11,5,7,7,13,5,5,72
2880,73,29,177,72,1.0,3,4,1,72.0,62.0,75.0,77.0,43.0,58.0,75,65,58,77,66,77,70,62,74,75,71,72,83,73,73,55,69,57,62,57,47,44,67,77,64,76,23,56,48,8,15,11,7,15,5,3,73
7499,67,33,191,76,1.0,3,2,2,32.0,37.0,47.0,47.0,66.0,76.0,30,39,72,59,35,44,34,24,63,52,31,33,34,66,39,44,66,63,83,28,78,66,26,40,48,64,65,64,65,10,12,7,13,15,3,5,67
606,82,25,186,80,1.0,3,3,2,59.0,60.0,75.0,77.0,80.0,75.0,59,65,65,84,57,76,63,46,82,79,67,52,76,82,65,48,68,85,68,61,83,80,69,79,52,83,82,82,80,6,14,16,11,7,1,5,79
1723,75,28,169,62,1.0,4,4,1,84.0,75.0,73.0,79.0,45.0,55.0,66,72,58,73,65,78,85,84,70,77,88,81,92,72,91,85,58,64,45,80,67,42,69,76,65,69,43,44,47,14,9,14,11,14,5,3,75
17992,66,20,175,68,1.0,3,2,1,77.0,42.0,49.0,59.0,51.0,57.0,31,42,49,58,36,57,32,33,57,59,81,73,70,51,62,46,57,66,53,38,58,51,50,53,42,54,42,60,55,13,7,6,6,10,3,3,55
15127,76,18,174,57,1.0,4,2,1,70.0,63.0,55.0,67.0,28.0,36.0,63,65,37,60,51,74,68,72,41,61,73,67,65,51,78,71,56,47,32,55,27,28,46,40,66,45,22,29,30,6,6,13,5,11,3,3,61
9522,75,20,191,81,1.0,3,2,1,68.0,26.0,48.0,54.0,66.0,73.0,44,22,66,60,21,50,26,20,58,59,67,69,57,56,56,40,74,72,76,20,66,64,28,36,36,58,66,67,64,8,13,10,7,12,3,5,66
2848,80,22,186,82,1.0,4,3,1,75.0,73.0,57.0,71.0,42.0,80.0,58,76,73,60,63,72,65,44,54,72,74,76,70,67,70,74,82,83,82,71,70,24,75,55,65,66,44,42,37,13,11,10,13,14,5,3,73
2401,74,29,172,71,1.0,3,2,1,78.0,60.0,63.0,69.0,70.0,75.0,70,57,62,67,50,72,69,49,56,63,80,76,74,66,77,75,66,87,73,55,69,70,62,56,51,69,67,75,74,15,6,8,12,5,5,3,74
19214,60,18,168,58,1.0,3,2,1,66.0,49.0,40.0,51.0,21.0,31.0,40,52,39,44,41,48,37,31,35,52,67,66,61,38,60,61,33,32,31,34,30,16,41,40,46,47,15,24,23,7,14,6,8,15,3,3,48
17604,59,25,183,75,4.0,3,2,1,75.0,56.0,46.0,57.0,30.0,52.0,47,58,50,46,42,55,49,52,40,54,76,74,73,50,72,60,67,68,49,50,34,26,56,45,55,50,24,32,32,11,6,8,12,12,3,3,56
402,80,35,187,78,1.0,3,2,3,57.0,48.0,63.0,61.0,80.0,78.0,52,42,82,77,47,53,49,49,70,72,59,55,57,74,53,67,89,67,82,43,81,79,48,52,50,78,80,81,79,6,8,15,5,15,3,5,80
9924,65,28,183,69,1.0,4,2,1,66.0,26.0,48.0,55.0,65.0,74.0,42,23,63,56,20,53,36,31,53,54,68,65,67,58,50,33,84,76,74,25,68,62,22,44,35,58,65,67,65,10,16,12,7,16,3,5,65
5554,69,30,175,70,2.0,3,3,1,66.0,55.0,67.0,70.0,68.0,73.0,60,53,60,72,44,67,60,55,70,72,66,66,70,69,78,58,59,79,71,56,73,69,57,67,57,72,68,72,66,6,10,11,7,11,3,5,69
1271,77,29,188,84,1.0,3,2,2,58.0,67.0,70.0,68.0,77.0,75.0,65,60,81,72,61,66,66,66,73,71,57,59,64,74,61,77,77,71,78,73,73,79,62,69,75,74,74,78,76,8,9,11,10,15,5,3,76
11020,77,20,186,82,1.0,3,2,1,71.0,56.0,65.0,63.0,58.0,72.0,64,50,45,66,33,60,64,67,65,64,72,71,70,62,71,72,72,82,71,60,64,62,52,64,57,67,58,60,59,13,10,5,11,6,3,3,65
13914,62,27,174,68,1.0,3,2,1,74.0,35.0,50.0,56.0,57.0,65.0,59,27,48,58,20,50,35,27,48,57,76,72,73,56,77,61,71,72,66,27,52,54,54,39,34,52,59,59,55,9,6,10,12,13,3,3,62
13388,62,32,181,67,4.0,2,2,1,72.0,63.0,49.0,61.0,38.0,66.0,41,66,52,54,56,60,43,35,40,58,74,70,72,56,82,64,64,70,69,57,53,45,66,58,59,58,34,36,30,11,14,13,7,6,5,5,62
14952,74,19,179,71,1.0,2,2,1,66.0,58.0,55.0,60.0,37.0,65.0,59,62,68,58,53,58,45,26,58,63,64,68,66,58,62,58,67,59,73,54,52,31,54,55,55,47,32,36,35,7,11,7,6,9,5,3,61
9437,77,22,180,75,1.0,2,2,1,64.0,25.0,49.0,59.0,67.0,72.0,24,16,68,67,26,59,23,24,59,59,66,63,61,58,68,35,74,80,71,23,62,65,64,49,30,52,65,70,67,10,10,10,12,14,3,3,66
1109,82,22,188,81,1.0,4,4,1,88.0,73.0,68.0,79.0,27.0,70.0,70,74,58,72,65,84,72,58,60,80,86,90,74,70,59,78,62,68,76,69,60,24,74,68,63,76,22,24,21,10,12,15,11,9,3,1,77
13655,62,27,181,71,2.0,3,2,1,62.0,60.0,59.0,62.0,46.0,53.0,53,57,45,61,34,64,52,57,64,66,66,59,55,55,63,70,57,58,50,65,53,49,62,62,55,47,45,48,42,6,7,8,10,6,5,3,62
9601,69,26,184,80,1.0,2,2,1,63.0,29.0,47.0,44.0,66.0,67.0,35,23,63,62,31,35,31,30,55,49,60,65,45,64,62,50,81,58,74,22,59,66,26,35,37,62,66,67,65,7,6,5,5,8,1,3,66
8454,76,20,187,85,2.0,3,3,1,80.0,66.0,59.0,67.0,31.0,69.0,58,68,62,63,46,69,53,40,60,66,81,79,64,63,71,66,65,66,78,67,49,28,66,56,60,64,25,28,29,15,11,10,14,13,5,1,67
13068,63,27,183,78,1.0,3,3,1,71.0,63.0,43.0,62.0,23.0,63.0,42,62,62,49,54,62,45,35,25,63,72,71,65,57,61,67,71,71,64,60,48,17,64,48,71,58,17,19,24,11,13,14,9,7,3,1,63
1233,76,30,175,75,1.0,5,3,1,73.0,60.0,71.0,71.0,74.0,82.0,78,58,67,71,60,70,65,49,72,67,74,72,74,76,84,70,82,87,77,53,90,73,71,70,51,72,75,75,73,6,9,7,14,15,5,5,76
1752,75,28,180,70,1.0,4,3,2,69.0,57.0,75.0,78.0,53.0,62.0,68,52,55,80,61,77,68,54,72,78,73,65,83,75,82,58,55,88,48,62,67,55,73,80,50,78,45,58,53,14,7,15,6,8,5,5,75
5257,78,23,180,78,1.0,3,3,1,60.0,63.0,63.0,70.0,63.0,58.0,44,70,45,72,38,72,44,47,70,74,55,64,62,70,63,52,71,62,54,65,58,67,65,69,51,60,59,70,59,9,13,9,6,11,3,3,70
17983,72,20,188,76,1.0,3,2,1,57.0,33.0,40.0,46.0,54.0,63.0,31,27,52,48,32,42,37,34,45,47,51,61,52,53,53,49,63,61,68,27,53,55,26,32,46,42,52,55,54,6,13,14,14,7,1,3,55
8439,72,25,180,73,2.0,3,3,1,64.0,57.0,65.0,69.0,54.0,69.0,54,53,57,73,45,68,53,52,69,71,71,59,71,65,71,64,70,74,68,61,67,56,65,67,54,70,54,52,51,7,8,10,12,13,3,3,67
686,78,33,178,79,1.0,4,3,2,58.0,75.0,79.0,70.0,75.0,79.0,79,72,70,79,76,67,77,80,77,75,64,53,64,76,70,78,68,92,73,77,80,77,79,81,75,79,76,75,70,9,16,10,7,7,5,5,78
12115,64,28,184,78,1.0,2,2,1,68.0,25.0,46.0,57.0,61.0,66.0,68,23,42,46,24,53,43,27,35,66,71,65,53,51,57,26,55,70,73,21,45,65,42,36,33,53,55,69,64,7,5,12,13,15,3,3,64
5550,69,31,183,75,3.0,2,3,1,63.0,70.0,71.0,69.0,65.0,63.0,74,67,52,70,67,70,75,74,70,68,63,63,67,68,70,78,71,59,65,70,60,70,69,71,72,68,63,69,66,11,7,14,11,8,3,5,69
4203,72,27,174,70,1.0,3,3,1,79.0,71.0,68.0,74.0,39.0,66.0,68,69,59,67,66,73,75,75,65,72,81,77,84,67,81,79,68,73,65,70,58,41,68,67,71,68,36,36,29,13,15,12,7,12,3,3,71
4081,71,29,176,70,1.0,3,3,1,84.0,49.0,61.0,68.0,65.0,67.0,65,45,52,63,45,67,66,64,50,68,83,85,75,67,76,57,76,80,60,49,67,64,65,59,47,65,67,67,68,9,12,6,11,10,5,3,71
4119,71,31,187,87,1.0,2,2,1,48.0,26.0,39.0,43.0,71.0,81.0,30,23,76,47,30,33,25,23,46,55,46,49,31,60,45,37,59,67,91,19,81,73,24,35,39,61,72,70,65,9,14,14,9,11,1,5,71
7713,67,29,181,77,1.0,3,2,1,78.0,40.0,58.0,60.0,61.0,68.0,63,38,64,62,41,55,29,33,58,61,76,79,73,58,71,39,81,80,64,42,61,61,55,59,39,62,60,62,62,6,14,16,15,15,3,5,67
770,78,31,180,81,1.0,3,3,1,41.0,69.0,71.0,74.0,78.0,83.0,55,69,46,79,52,72,61,57,80,80,44,38,66,79,75,72,65,92,80,73,82,82,73,71,58,71,78,85,78,6,14,14,6,11,1,5,78
6162,79,21,183,80,2.0,3,3,1,65.0,60.0,67.0,69.0,64.0,74.0,65,60,45,74,44,68,40,50,68,71,68,63,69,70,75,65,61,75,73,59,76,66,60,65,59,62,66,69,61,13,13,5,12,5,3,5,69
10580,73,22,186,79,1.0,4,3,1,79.0,58.0,58.0,66.0,32.0,65.0,64,60,32,60,38,66,60,33,53,67,78,80,66,60,70,62,57,70,69,53,52,34,62,58,53,57,32,32,28,9,12,13,7,11,3,1,65
9874,65,31,170,72,3.0,3,3,1,75.0,58.0,61.0,65.0,57.0,84.0,58,57,53,63,56,62,59,57,61,61,78,73,80,62,91,65,85,86,80,56,89,62,58,62,57,58,55,57,59,12,14,8,8,9,5,5,65
7448,76,22,183,76,1.0,3,3,1,80.0,61.0,56.0,81.0,25.0,54.0,57,63,52,58,49,82,68,48,47,80,83,78,88,57,87,65,57,55,60,62,37,20,58,56,45,77,23,22,21,14,15,9,6,5,3,1,68
5658,70,28,183,76,3.0,3,2,1,56.0,22.0,46.0,52.0,69.0,79.0,42,20,67,53,18,46,27,24,51,51,57,56,66,65,63,26,82,69,87,19,73,67,32,44,33,56,70,69,71,13,12,10,7,12,3,3,69
4128,71,30,172,76,1.0,2,3,1,77.0,59.0,72.0,63.0,66.0,71.0,74,47,57,70,57,59,82,72,69,67,78,76,74,56,68,80,58,88,68,67,59,66,57,72,57,52,67,67,65,15,11,13,8,8,3,3,71
5670,69,28,179,78,1.0,4,3,1,71.0,72.0,66.0,74.0,26.0,57.0,64,69,67,69,68,78,74,72,61,74,75,68,75,63,60,77,63,60,62,78,39,25,61,63,69,59,22,19,21,12,12,12,12,12,3,1,69
7158,77,23,179,66,1.0,3,2,1,68.0,36.0,53.0,65.0,67.0,69.0,60,30,70,61,32,65,50,38,50,66,70,67,66,63,69,46,72,72,66,33,70,64,59,40,46,63,66,68,66,7,12,12,5,14,3,3,68
13095,78,19,188,86,1.0,5,2,1,67.0,47.0,63.0,65.0,56.0,69.0,53,46,45,66,41,64,50,42,70,67,64,69,65,60,69,53,59,73,79,43,39,55,66,69,41,63,68,52,49,9,6,10,10,6,3,3,63
7408,71,26,181,74,2.0,3,2,1,73.0,65.0,69.0,68.0,52.0,65.0,68,64,57,68,59,69,71,67,69,71,76,71,62,58,68,67,68,80,60,67,60,52,64,70,62,61,48,55,51,10,12,12,8,14,3,3,68
17871,69,19,177,71,1.0,3,3,1,68.0,51.0,50.0,56.0,23.0,31.0,53,52,35,52,48,57,47,30,42,54,72,65,48,49,90,59,45,32,32,42,25,19,53,54,47,46,22,22,23,11,13,6,14,11,3,3,55
5076,70,25,178,78,1.0,3,3,1,64.0,73.0,59.0,68.0,29.0,58.0,58,74,75,66,64,75,59,53,42,66,65,63,42,69,68,71,65,35,72,77,52,23,62,60,75,73,14,33,30,11,14,15,12,13,3,3,70
8137,72,25,180,75,1.0,2,3,1,72.0,61.0,65.0,71.0,42.0,58.0,54,57,46,74,50,74,56,53,71,70,68,75,71,60,64,68,52,68,58,66,47,39,54,62,60,69,27,51,60,7,10,7,6,11,3,1,67
18343,62,22,179,64,1.0,3,2,1,59.0,26.0,32.0,36.0,56.0,57.0,23,24,47,42,23,34,23,31,30,30,55,63,46,47,56,37,72,55,62,21,43,54,22,27,36,45,51,65,54,9,15,12,10,14,3,3,54
1837,75,29,177,84,1.0,4,2,1,58.0,68.0,69.0,70.0,73.0,76.0,56,59,59,75,72,70,65,60,74,72,54,62,64,74,64,83,71,70,80,76,74,74,64,69,64,72,75,76,71,9,10,7,9,16,3,3,75
9468,71,25,178,73,1.0,4,2,1,77.0,64.0,55.0,65.0,32.0,68.0,53,67,66,60,56,65,60,55,36,64,76,78,69,64,66,68,64,68,69,57,67,24,66,59,61,61,34,29,21,5,14,10,8,13,5,3,66
3371,72,26,175,66,1.0,3,4,2,74.0,65.0,70.0,79.0,34.0,48.0,71,58,45,69,69,78,82,75,65,77,79,69,86,78,90,70,61,45,41,73,67,34,67,72,64,73,36,31,26,7,8,7,9,12,5,3,72
15544,75,20,171,63,1.0,2,2,1,69.0,47.0,59.0,53.0,41.0,51.0,65,51,43,62,35,46,39,38,59,59,70,69,66,60,55,41,48,65,51,47,35,51,60,56,43,41,41,35,37,9,11,10,7,7,5,3,60
13440,62,29,178,74,4.0,4,3,1,70.0,59.0,61.0,64.0,57.0,64.0,61,59,46,62,42,62,63,56,61,61,72,68,81,60,75,61,53,83,63,62,46,59,61,61,60,62,58,60,56,6,11,7,11,8,5,3,62
8972,68,27,175,78,1.0,3,3,1,54.0,47.0,60.0,64.0,63.0,68.0,55,42,59,65,35,64,45,44,64,67,55,53,56,64,69,60,76,69,68,45,65,66,55,62,46,65,62,63,59,14,7,10,16,13,3,5,66
6747,68,34,183,79,1.0,2,3,1,62.0,68.0,56.0,67.0,26.0,68.0,46,67,69,65,59,66,32,46,57,69,60,64,62,62,63,74,78,65,77,63,46,36,71,56,82,74,15,19,17,7,13,12,13,13,3,1,68
9077,69,26,176,72,2.0,2,2,1,69.0,49.0,64.0,62.0,62.0,67.0,59,33,56,67,29,56,29,69,71,65,70,69,67,65,79,73,71,78,66,68,54,63,56,65,43,72,61,64,61,14,8,12,7,16,3,3,66
1835,75,21,191,88,1.0,3,2,1,64.0,40.0,54.0,52.0,76.0,78.0,55,31,75,61,44,49,38,39,62,54,61,67,44,67,41,55,57,52,89,44,88,71,34,43,51,74,81,77,71,9,7,13,9,12,3,3,75
15784,69,22,166,67,1.0,3,2,1,76.0,42.0,50.0,64.0,54.0,44.0,63,45,46,50,33,62,51,37,46,64,77,75,72,57,82,40,57,60,34,37,46,54,54,44,42,45,50,59,56,14,7,15,7,5,3,3,60
15014,74,19,188,70,1.0,3,2,1,56.0,62.0,45.0,57.0,29.0,54.0,31,63,77,56,51,58,40,31,37,60,54,57,48,52,51,65,66,60,50,58,54,19,59,49,70,55,25,24,25,11,12,6,15,13,5,3,61
7138,80,22,175,80,1.0,3,3,1,88.0,62.0,57.0,72.0,26.0,65.0,51,65,55,64,64,73,45,30,51,69,87,89,83,53,78,63,79,69,72,52,37,21,64,63,60,62,29,18,20,14,8,8,8,10,5,3,68
5090,70,21,179,73,1.0,3,2,1,83.0,64.0,64.0,74.0,31.0,64.0,66,64,36,69,56,76,73,65,39,72,85,81,78,66,82,73,69,68,65,61,56,22,57,69,49,65,37,29,27,8,6,7,9,10,3,3,70
5474,69,36,185,80,1.0,3,2,1,50.0,52.0,53.0,54.0,69.0,78.0,48,41,70,61,42,49,43,63,53,52,44,54,60,71,73,70,82,85,77,56,70,68,46,45,74,57,71,69,66,9,16,16,12,9,3,5,69
11832,80,19,174,70,1.0,3,3,1,79.0,54.0,57.0,70.0,31.0,50.0,65,52,24,59,50,73,52,45,42,66,81,77,77,54,77,66,50,64,49,48,35,33,54,59,59,58,26,37,34,14,11,10,7,11,3,3,64
12961,69,23,180,76,3.0,2,2,1,55.0,44.0,59.0,55.0,61.0,69.0,52,38,55,65,36,50,42,46,63,53,56,55,69,59,69,63,57,78,69,42,63,61,42,58,38,60,59,64,61,15,14,6,12,8,3,3,63
12194,75,20,183,80,1.0,3,3,1,69.0,66.0,61.0,64.0,46.0,67.0,57,65,63,62,55,65,59,60,53,66,68,70,63,52,67,68,70,67,69,72,59,47,63,68,55,62,43,42,45,6,9,8,14,14,3,3,64
3767,81,23,173,70,1.0,3,3,1,79.0,46.0,63.0,68.0,66.0,72.0,68,40,55,67,45,66,66,40,65,68,81,78,76,68,78,55,66,83,66,45,76,67,65,55,45,60,67,67,67,14,14,11,8,11,5,5,72
14476,64,25,184,75,1.0,3,3,1,66.0,54.0,61.0,60.0,53.0,73.0,56,52,50,63,39,57,55,52,65,60,65,66,70,56,67,66,56,74,73,51,74,52,56,65,56,57,50,57,55,13,10,10,15,11,3,3,61
11595,71,22,177,71,3.0,3,2,1,79.0,37.0,50.0,64.0,58.0,59.0,62,29,54,58,30,63,43,31,37,62,78,79,74,58,77,52,56,70,58,37,50,59,59,39,42,57,58,59,59,11,7,6,7,10,5,3,64
14819,74,19,169,60,1.0,4,2,1,73.0,43.0,58.0,65.0,56.0,54.0,44,37,51,71,42,64,34,34,57,63,74,73,80,57,85,53,64,72,42,42,57,56,54,60,46,53,61,53,55,14,7,5,8,8,3,5,61
15732,70,20,188,78,1.0,3,2,1,63.0,25.0,40.0,44.0,62.0,57.0,23,21,58,65,22,25,21,23,27,61,61,64,46,60,77,34,73,63,60,24,40,60,24,30,37,55,60,65,63,15,7,10,8,9,3,3,60
6209,74,22,187,71,1.0,2,2,1,47.0,35.0,49.0,54.0,71.0,69.0,38,28,74,67,18,49,28,30,54,60,46,48,46,65,53,59,71,67,73,30,59,69,23,36,52,61,70,72,67,9,13,13,13,8,1,3,69
1690,77,26,186,76,1.0,2,2,1,79.0,64.0,68.0,70.0,71.0,73.0,67,58,68,69,74,70,72,72,65,72,78,80,73,71,64,77,68,86,67,70,74,75,66,65,34,64,68,72,70,11,11,9,13,10,5,3,75
